Date,Open
11,19441.39063
12,19736.14063
13,19873.68945
14,19860.36914
15,19793.80078
16,20128.17969
17,20301.33008
18,20456.5
19,20413.60938
20,20439.42969
21,20349.25977
22,20269.82031
23,20398.63086
24,20315.33984
25,20400.50977
26,20475.25
27,20660.81055
